id,name,height,weight,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,base_stat_total
467,magmortar,16,680,fire,,75,95,67,125,95,83,540
468,togekiss,15,380,fairy,flying,85,50,95,120,115,80,545
469,yanmega,19,515,bug,flying,86,76,86,116,56,95,515
470,leafeon,10,255,grass,,65,110,130,60,65,95,525
471,glaceon,8,259,ice,,65,60,110,130,95,65,525
472,gliscor,20,425,ground,flying,75,95,125,45,75,95,510
473,mamoswine,25,2910,ice,ground,110,130,80,70,60,80,530
474,porygon-z,9,340,normal,,85,80,70,135,75,90,535
475,gallade,16,520,psychic,fighting,68,125,65,65,115,80,518
476,probopass,14,3400,rock,steel,60,55,145,75,150,40,525
477,dusknoir,22,1066,ghost,,45,100,135,65,135,45,525
478,froslass,13,266,ice,ghost,70,80,70,80,70,110,480
479,rotom,3,3,electric,ghost,50,50,77,95,77,91,440
480,uxie,3,3,psychic,,75,75,130,75,130,95,580
481,mesprit,3,3,psychic,,80,105,105,105,105,80,580
482,azelf,3,3,psychic,,75,125,70,125,70,115,580
483,dialga,54,6830,steel,dragon,100,120,120,150,100,90,680
484,palkia,42,3360,water,dragon,90,120,100,150,120,100,680
485,heatran,17,4300,fire,steel,91,90,106,130,106,77,600
486,regigigas,37,4200,normal,,110,160,110,80,110,100,670
487,giratina-altered,45,7500,ghost,dragon,150,100,120,100,120,90,680
488,cresselia,15,856,psychic,,120,70,110,75,120,85,580
489,phione,4,31,water,,80,80,80,80,80,80,480
490,manaphy,3,14,water,,100,100,100,100,100,100,600
491,darkrai,15,505,dark,,70,90,90,135,90,125,600
492,shaymin-land,2,21,grass,,100,100,100,100,100,100,600
493,arceus,32,3200,normal,,120,120,120,120,120,120,720
494,victini,4,40,psychic,fire,100,100,100,100,100,100,600
495,snivy,6,81,grass,,45,45,55,45,55,63,308
496,servine,8,160,grass,,60,60,75,60,75,83,413
497,serperior,33,630,grass,,75,75,95,75,95,113,528
498,tepig,5,99,fire,,65,63,45,45,45,45,308
499,pignite,10,555,fire,fighting,90,93,55,70,55,55,418
500,emboar,16,1500,fire,fighting,110,123,65,100,65,65,528
501,oshawott,5,59,water,,55,55,45,63,45,45,308
502,dewott,8,245,water,,75,75,60,83,60,60,413
503,samurott,15,946,water,,95,100,85,108,70,70,528
504,patrat,5,116,normal,,45,55,39,35,39,42,255
505,watchog,11,270,normal,,60,85,69,60,69,77,420
506,lillipup,4,41,normal,,45,60,45,25,45,55,275
507,herdier,9,147,normal,,65,80,65,35,65,60,370
508,stoutland,12,610,normal,,85,110,90,45,90,80,500
509,purrloin,4,101,dark,,41,50,37,50,37,66,281
510,liepard,11,375,dark,,64,88,50,88,50,106,446
511,pansage,6,105,grass,,50,53,48,53,48,64,316
512,simisage,11,305,grass,,75,98,63,98,63,101,498
513,pansear,6,110,fire,,50,53,48,53,48,64,316
514,simisear,10,280,fire,,75,98,63,98,63,101,498
515,panpour,6,135,water,,50,53,48,53,48,64,316
516,simipour,10,290,water,,75,98,63,98,63,101,498
517,munna,6,233,psychic,,76,25,45,67,55,24,292
518,musharna,11,605,psychic,,116,55,85,107,95,29,487
519,pidove,3,21,normal,flying,50,55,50,36,30,43,264
520,tranquill,6,150,normal,flying,62,77,62,50,42,65,358
521,unfezant,12,290,normal,flying,80,115,80,65,55,93,488
522,blitzle,8,298,electric,,45,60,32,50,32,76,295
523,zebstrika,16,795,electric,,75,100,63,80,63,116,497
524,roggenrola,4,180,rock,,55,75,85,25,25,15,280
525,boldore,9,1020,rock,,70,105,105,50,40,20,390
526,gigalith,17,2600,rock,,85,135,130,60,80,25,515
527,woobat,4,21,psychic,flying,65,45,43,55,43,72,323
528,swoobat,9,105,psychic,flying,67,57,55,77,55,114,425
529,drilbur,3,85,ground,,60,85,40,30,45,68,328
530,excadrill,7,404,ground,steel,110,135,60,50,65,88,508
531,audino,11,310,normal,,103,60,86,60,86,50,445
532,timburr,6,125,fighting,,75,80,55,25,35,35,305
533,gurdurr,12,400,fighting,,85,105,85,40,50,40,405
534,conkeldurr,14,870,fighting,,105,140,95,55,65,45,505
535,tympole,5,45,water,,50,50,40,50,40,64,294
536,palpitoad,8,170,water,ground,75,65,55,65,55,69,384
537,seismitoad,15,620,water,ground,105,95,75,85,75,74,509
538,throh,13,555,fighting,,120,100,85,30,85,45,465
539,sawk,14,510,fighting,,75,125,75,30,75,85,465
540,sewaddle,3,25,bug,grass,45,53,70,40,60,42,310
541,swadloon,5,73,bug,grass,55,63,90,50,80,42,380
542,leavanny,12,205,bug,grass,75,103,80,70,80,92,500
543,venipede,4,53,bug,poison,30,45,59,30,39,57,260
544,whirlipede,12,585,bug,poison,40,55,99,40,79,47,360
545,scolipede,25,2005,bug,poison,60,100,89,55,69,112,485
546,cottonee,3,6,grass,fairy,40,27,60,37,50,66,280
547,whimsicott,7,66,grass,fairy,60,67,85,77,75,116,480
548,petilil,5,66,grass,,45,35,50,70,50,30,280
549,lilligant,11,163,grass,,70,60,75,110,75,90,480
550,basculin-red-striped,10,180,water,,70,92,65,80,55,98,460
551,sandile,7,152,ground,dark,50,72,35,35,35,65,292
552,krokorok,10,334,ground,dark,60,82,45,45,45,74,351
553,krookodile,15,963,ground,dark,95,117,80,65,70,92,519
554,darumaka,6,375,fire,,70,90,45,15,45,50,315
555,darmanitan-standard,13,929,fire,,105,140,55,30,55,95,480
556,maractus,10,280,grass,,75,86,67,106,67,60,461
557,dwebble,3,145,bug,rock,50,65,85,35,35,55,325
558,crustle,14,2000,bug,rock,70,105,125,65,75,45,485
559,scraggy,6,118,dark,fighting,50,75,70,35,70,48,348
560,scrafty,11,300,dark,fighting,65,90,115,45,115,58,488
561,sigilyph,14,140,psychic,flying,72,58,80,103,80,97,490
562,yamask,5,15,ghost,,38,30,85,55,65,30,303
563,cofagrigus,17,765,ghost,,58,50,145,95,105,30,483
564,tirtouga,7,165,water,rock,54,78,103,53,45,22,355
565,carracosta,12,810,water,rock,74,108,133,83,65,32,495
566,archen,5,95,rock,flying,55,112,45,74,45,70,401
567,archeops,14,320,rock,flying,75,140,65,112,65,110,567
568,trubbish,6,310,poison,,50,50,62,40,62,65,329
569,garbodor,19,1073,poison,,80,95,82,60,82,75,474
570,zorua,7,125,dark,,40,65,40,80,40,65,330
571,zoroark,16,811,dark,,60,105,60,120,60,105,510
572,minccino,4,58,normal,,55,50,40,40,40,75,300
573,cinccino,5,75,normal,,75,95,60,65,60,115,470
574,gothita,4,58,psychic,,45,30,50,55,65,45,290
575,gothorita,7,180,psychic,,60,45,70,75,85,55,390
576,gothitelle,15,440,psychic,,70,55,95,95,110,65,490
577,solosis,3,10,psychic,,45,30,40,105,50,20,290
578,duosion,6,80,psychic,,65,40,50,125,60,30,370
579,reuniclus,10,201,psychic,,110,65,75,125,85,30,490
580,ducklett,5,55,water,flying,62,44,50,44,50,55,305
581,swanna,13,242,water,flying,75,87,63,87,63,98,473
582,vanillite,4,57,ice,,36,50,50,65,60,44,305
583,vanillish,11,410,ice,,51,65,65,80,75,59,395
584,vanilluxe,13,575,ice,,71,95,85,110,95,79,535
585,deerling,6,195,normal,grass,60,60,50,40,50,75,335
586,sawsbuck,19,925,normal,grass,80,100,70,60,70,95,475
587,emolga,4,50,electric,flying,55,75,60,75,60,103,428
588,karrablast,5,59,bug,,50,75,45,40,45,60,315
589,escavalier,10,330,bug,steel,70,135,105,60,105,20,495
590,foongus,2,10,grass,poison,69,55,45,55,55,15,294
591,amoonguss,6,105,grass,poison,114,85,70,85,80,30,464
592,frillish-male,12,330,water,ghost,55,40,50,65,85,40,335
593,jellicent-male,22,1350,water,ghost,100,60,70,85,105,60,480
594,alomomola,12,316,water,,165,75,80,40,45,65,470
595,joltik,1,6,bug,electric,50,47,50,57,50,65,319
596,galvantula,8,143,bug,electric,70,77,60,97,60,108,472
597,ferroseed,6,188,grass,steel,44,50,91,24,86,10,305
598,ferrothorn,10,1100,grass,steel,74,94,131,54,116,20,489
599,klink,3,210,steel,,40,55,70,45,60,30,300
600,klang,6,510,steel,,60,80,95,70,85,50,440
601,klinklang,6,810,steel,,60,100,115,70,85,90,520
602,tynamo,2,3,electric,,35,55,40,45,40,60,275
603,eelektrik,12,220,electric,,65,85,70,75,70,40,405
604,eelektross,21,805,electric,,85,115,80,105,80,50,515
605,elgyem,5,90,psychic,,55,55,55,85,55,30,335
606,beheeyem,10,345,psychic,,75,75,75,125,95,40,485
607,litwick,3,31,ghost,fire,50,30,55,65,55,20,275
608,lampent,6,130,ghost,fire,60,40,60,95,60,55,370
609,chandelure,10,343,ghost,fire,60,55,90,145,90,80,520
610,axew,6,180,dragon,,46,87,60,30,40,57,320
611,fraxure,10,360,dragon,,66,117,70,40,50,67,410
612,haxorus,18,1055,dragon,,76,147,90,60,70,97,540
613,cubchoo,5,85,ice,,55,70,40,60,40,40,305
614,beartic,26,2600,ice,,95,130,80,70,80,50,505
615,cryogonal,11,1480,ice,,80,50,50,95,135,105,515
616,shelmet,4,77,bug,,50,40,85,40,65,25,305
617,accelgor,8,253,bug,,80,70,40,100,60,145,495
618,stunfisk,7,110,ground,electric,109,66,84,81,99,32,471
619,mienfoo,9,200,fighting,,45,85,50,55,50,65,350
620,mienshao,14,355,fighting,,65,125,60,95,60,105,510
621,druddigon,16,1390,dragon,,77,120,90,60,90,48,485
622,golett,10,920,ground,ghost,59,74,50,35,50,35,303
623,golurk,28,3300,ground,ghost,89,124,80,55,80,55,483
624,pawniard,5,102,dark,steel,45,85,70,40,40,60,340
625,bisharp,16,700,dark,steel,65,125,100,60,70,70,490
626,bouffalant,16,946,normal,,95,110,95,40,95,55,490
627,rufflet,5,105,normal,flying,70,83,50,37,50,60,350
628,braviary,15,410,normal,flying,100,123,75,57,75,80,510
629,vullaby,5,90,dark,flying,70,55,75,45,65,60,370
630,mandibuzz,12,395,dark,flying,110,65,105,55,95,80,510
631,heatmor,14,580,fire,,85,97,66,105,66,65,484
632,durant,3,330,bug,steel,58,109,112,48,48,109,484
633,deino,8,173,dark,dragon,52,65,50,45,50,38,300
634,zweilous,14,500,dark,dragon,72,85,70,65,70,58,420
635,hydreigon,18,1600,dark,dragon,92,105,90,125,90,98,600
636,larvesta,11,288,bug,fire,55,85,55,50,55,60,360
637,volcarona,16,460,bug,fire,85,60,65,135,105,100,550
638,cobalion,21,2500,steel,fighting,91,90,129,90,72,108,580
639,terrakion,19,2600,rock,fighting,91,129,90,72,90,108,580
640,virizion,20,2000,grass,fighting,91,90,72,90,129,108,580
641,tornadus-incarnate,15,630,flying,,79,115,70,125,80,111,580
642,thundurus-incarnate,15,610,electric,flying,79,115,70,125,80,111,580
643,reshiram,32,3300,dragon,fire,100,120,100,150,120,90,680
644,zekrom,29,3450,dragon,electric,100,150,120,120,100,90,680
645,landorus-incarnate,15,680,ground,flying,89,125,90,115,80,101,600
646,kyurem,30,3250,dragon,ice,125,130,90,130,90,95,660
647,keldeo-ordinary,14,485,water,fighting,91,72,90,129,90,108,580
648,meloetta-aria,6,65,normal,psychic,100,77,77,128,128,90,600
649,genesect,15,825,bug,steel,71,120,95,120,95,99,600
650,chespin,4,90,grass,,56,61,65,48,45,38,313
651,quilladin,7,290,grass,,61,78,95,56,58,57,405
652,chesnaught,16,900,grass,fighting,88,107,122,74,75,64,530
653,fennekin,4,94,fire,,40,45,40,62,60,60,307
654,braixen,10,145,fire,,59,59,58,90,70,73,409
655,delphox,15,390,fire,psychic,75,69,72,114,100,104,534
656,froakie,3,70,water,,41,56,40,62,44,71,314
657,frogadier,6,109,water,,54,63,52,83,56,97,405
658,greninja,15,400,water,dark,72,95,67,103,71,122,530
659,bunnelby,4,50,normal,,38,36,38,32,36,57,237
660,diggersby,10,424,normal,ground,85,56,77,50,77,78,423
661,fletchling,3,17,normal,flying,45,50,43,40,38,62,278
662,fletchinder,7,160,fire,flying,62,73,55,56,52,84,382
663,talonflame,12,245,fire,flying,78,81,71,74,69,126,499
664,scatterbug,3,25,bug,,38,35,40,27,25,35,200
665,spewpa,3,84,bug,,45,22,60,27,30,29,213
666,vivillon,12,170,bug,flying,80,52,50,90,50,89,411
667,litleo,6,135,fire,normal,62,50,58,73,54,72,369
668,pyroar-male,15,815,fire,normal,86,68,72,109,66,106,507
669,flabebe,1,1,fairy,,44,38,39,61,79,42,303
670,floette,2,9,fairy,,54,45,47,75,98,52,371
671,florges,11,100,fairy,,78,65,68,112,154,75,552
672,skiddo,9,310,grass,,66,65,48,62,57,52,350
673,gogoat,17,910,grass,,123,100,62,97,81,68,531
674,pancham,6,80,fighting,,67,82,62,46,48,43,348
675,pangoro,21,1360,fighting,dark,95,124,78,69,71,58,495
676,furfrou,12,280,normal,,75,80,60,65,90,102,472
677,espurr,3,35,psychic,,62,48,54,63,60,68,355
678,meowstic-male,6,85,psychic,,74,48,76,83,81,104,466
679,honedge,8,20,steel,ghost,45,80,100,35,37,28,325
680,doublade,8,45,steel,ghost,59,110,150,45,49,35,448
681,aegislash-shield,17,530,steel,ghost,60,50,140,50,140,60,500
682,spritzee,2,5,fairy,,78,52,60,63,65,23,341
683,aromatisse,8,155,fairy,,101,72,72,99,89,29,462
684,swirlix,4,35,fairy,,62,48,66,59,57,49,341
685,slurpuff,8,50,fairy,,82,80,86,85,75,72,480
686,inkay,4,35,dark,psychic,53,54,53,37,46,45,288
687,malamar,15,470,dark,psychic,86,92,88,68,75,73,482
688,binacle,5,310,rock,water,42,52,67,39,56,50,306
689,barbaracle,13,960,rock,water,72,105,115,54,86,68,500
690,skrelp,5,73,poison,water,50,60,60,60,60,30,320
691,dragalge,18,815,poison,dragon,65,75,90,97,123,44,494
692,clauncher,5,83,water,,50,53,62,58,63,44,330
693,clawitzer,13,353,water,,71,73,88,120,89,59,500
694,helioptile,5,60,electric,normal,44,38,33,61,43,70,289
695,heliolisk,10,210,electric,normal,62,55,52,109,94,109,481
696,tyrunt,8,260,rock,dragon,58,89,77,45,45,48,362
697,tyrantrum,25,2700,rock,dragon,82,121,119,69,59,71,521
698,amaura,13,252,rock,ice,77,59,50,67,63,46,362
699,aurorus,27,2250,rock,ice,123,77,72,99,92,58,521
700,sylveon,10,235,fairy,,95,65,65,110,130,60,525
701,hawlucha,8,215,fighting,flying,78,92,75,74,63,118,500
702,dedenne,2,22,electric,fairy,67,58,57,81,67,101,431
703,carbink,3,57,rock,fairy,50,50,150,50,150,50,500
704,goomy,3,28,dragon,,45,50,35,55,75,40,300
705,sliggoo,8,175,dragon,,68,75,53,83,113,60,452
706,goodra,20,1505,dragon,,90,100,70,110,150,80,600
707,klefki,2,30,steel,fairy,57,80,91,80,87,75,470
708,phantump,4,70,ghost,grass,43,70,48,50,60,38,309
709,trevenant,15,710,ghost,grass,85,110,76,65,82,56,474
710,pumpkaboo-average,4,50,ghost,grass,49,66,70,44,55,51,335
711,gourgeist-average,9,125,ghost,grass,65,90,122,58,75,84,494
712,bergmite,10,995,ice,,55,69,85,32,35,28,304
713,avalugg,20,5050,ice,,95,117,184,44,46,28,514
714,noibat,5,80,flying,dragon,40,30,35,45,40,55,245
715,noivern,15,850,flying,dragon,85,70,80,97,80,123,535
716,xerneas,30,2150,fairy,,126,131,95,131,98,99,680
717,yveltal,58,2030,dark,flying,126,131,95,131,98,99,680
718,zygarde-50,50,3050,dragon,ground,108,100,121,81,95,95,600
719,diancie,7,88,rock,fairy,50,100,150,100,150,50,600
720,hoopa,5,90,psychic,ghost,80,110,60,150,130,70,600
721,volcanion,17,1950,fire,water,80,110,120,130,90,70,600
722,rowlet,3,15,grass,flying,68,55,55,50,50,42,320
723,dartrix,7,160,grass,flying,78,75,75,70,70,52,420
724,decidueye,16,366,grass,ghost,78,107,75,100,100,70,530
725,litten,4,43,fire,,45,65,40,60,40,70,320
726,torracat,7,250,fire,,65,85,50,80,50,90,420
727,incineroar,18,830,fire,dark,95,115,90,80,90,60,530
728,popplio,4,75,water,,50,54,54,66,56,40,320
729,brionne,6,175,water,,60,69,69,91,81,50,420
730,primarina,18,440,water,fairy,80,74,74,126,116,60,530
731,pikipek,3,12,normal,flying,35,75,30,30,30,65,265
732,trumbeak,6,148,normal,flying,55,85,50,40,50,75,355
733,toucannon,11,260,normal,flying,80,120,75,75,75,60,485
734,yungoos,4,60,normal,,48,70,30,30,30,45,253
735,gumshoos,7,142,normal,,88,110,60,55,60,45,418
736,grubbin,4,44,bug,,47,62,45,55,45,46,300
737,charjabug,5,105,bug,electric,57,82,95,55,75,36,400
738,vikavolt,15,450,bug,electric,77,70,90,145,75,43,500
739,crabrawler,6,70,fighting,,47,82,57,42,47,63,338
740,crabominable,17,1800,fighting,ice,97,132,77,62,67,43,478
741,oricorio-baile,6,34,fire,flying,75,70,70,98,70,93,476
742,cutiefly,1,2,bug,fairy,40,45,40,55,40,84,304
743,ribombee,2,5,bug,fairy,60,55,60,95,70,124,464
744,rockruff,5,92,rock,,45,65,40,30,40,60,280
745,lycanroc-midday,8,250,rock,,75,115,65,55,65,112,487
746,wishiwashi-solo,2,3,water,,45,20,20,25,25,40,175
747,mareanie,4,80,poison,water,50,53,62,43,52,45,305
748,toxapex,7,145,poison,water,50,63,152,53,142,35,495
749,mudbray,10,1100,ground,,70,100,70,45,55,45,385
750,mudsdale,25,9200,ground,,100,125,100,55,85,35,500
751,dewpider,3,40,water,bug,38,40,52,40,72,27,269
752,araquanid,18,820,water,bug,68,70,92,50,132,42,454
753,fomantis,3,15,grass,,40,55,35,50,35,35,250
754,lurantis,9,185,grass,,70,105,90,80,90,45,480
755,morelull,2,15,grass,fairy,40,35,55,65,75,15,285
756,shiinotic,10,115,grass,fairy,60,45,80,90,100,30,405
757,salandit,6,48,poison,fire,48,44,40,71,40,77,320
758,salazzle,12,222,poison,fire,68,64,60,111,60,117,480
759,stufful,5,68,normal,fighting,70,75,50,45,50,50,340
760,bewear,21,1350,normal,fighting,120,125,80,55,60,60,500
761,bounsweet,3,32,grass,,42,30,38,30,38,32,210
762,steenee,7,82,grass,,52,40,48,40,48,62,290
763,tsareena,12,214,grass,,72,120,98,50,98,72,510
764,comfey,1,3,fairy,,51,52,90,82,110,100,485
765,oranguru,15,760,normal,psychic,90,60,80,90,110,60,490
766,passimian,20,828,fighting,,100,120,90,40,60,80,490
767,wimpod,5,120,bug,water,25,35,40,20,30,80,230
768,golisopod,20,1080,bug,water,75,125,140,60,90,40,530
769,sandygast,5,700,ghost,ground,55,55,80,70,45,15,320
770,palossand,13,2500,ghost,ground,85,75,110,100,75,35,480
771,pyukumuku,3,12,water,,55,60,130,30,130,5,410
772,type-null,19,1205,normal,,95,95,95,95,95,59,534
773,silvally,23,1005,normal,,95,95,95,95,95,95,570
774,minior-red-meteor,3,400,rock,flying,60,60,100,60,100,60,440
775,komala,4,199,normal,,65,115,65,75,95,65,480
776,turtonator,20,2120,fire,dragon,60,78,135,91,85,36,485
777,togedemaru,3,33,electric,steel,65,98,63,40,73,96,435
778,mimikyu-disguised,2,7,ghost,fairy,55,90,80,50,105,96,476
779,bruxish,9,190,water,psychic,68,105,70,70,70,92,475
780,drampa,30,1850,normal,dragon,78,60,85,135,91,36,485
781,dhelmise,39,2100,ghost,grass,70,131,100,86,90,40,517
782,jangmo-o,6,297,dragon,,45,55,65,45,45,45,300
783,hakamo-o,12,470,dragon,fighting,55,75,90,65,70,65,420
784,kommo-o,16,782,dragon,fighting,75,110,125,100,105,85,600
785,tapu-koko,18,205,electric,fairy,70,115,85,95,75,130,570
786,tapu-lele,12,186,psychic,fairy,70,85,75,130,115,95,570
787,tapu-bulu,19,455,grass,fairy,70,130,115,85,95,75,570
788,tapu-fini,13,212,water,fairy,70,75,115,95,130,85,570
789,cosmog,2,1,psychic,,43,29,31,29,31,37,200
790,cosmoem,1,9999,psychic,,43,29,131,29,131,37,400
791,solgaleo,34,2300,psychic,steel,137,137,107,113,89,97,680
792,lunala,40,1200,psychic,ghost,137,113,89,137,107,97,680
793,nihilego,12,555,rock,poison,109,53,47,127,131,103,570
794,buzzwole,24,3336,bug,fighting,107,139,139,53,53,79,570
795,pheromosa,18,250,bug,fighting,71,137,37,137,37,151,570
796,xurkitree,38,1000,electric,,83,89,71,173,71,83,570
797,celesteela,92,9999,steel,flying,97,101,103,107,101,61,570
798,kartana,3,1,grass,steel,59,181,131,59,31,109,570
799,guzzlord,55,8880,dark,dragon,223,101,53,97,53,43,570
800,necrozma,24,2300,psychic,,97,107,101,127,89,79,600
801,magearna,10,805,steel,fairy,80,95,115,130,115,65,600
802,marshadow,7,222,fighting,ghost,90,125,80,90,90,125,600
803,poipole,6,18,poison,,67,73,67,73,67,73,420
804,naganadel,36,1500,poison,dragon,73,73,73,127,73,121,540
805,stakataka,55,8200,rock,steel,61,131,211,53,101,13,570
806,blacephalon,18,130,fire,ghost,53,127,53,151,79,107,570
807,zeraora,15,445,electric,,88,112,75,102,80,143,600
808,meltan,2,80,steel,,46,65,65,55,35,34,300
809,melmetal,25,8000,steel,,135,143,143,80,65,34,600
810,grookey,3,50,grass,,50,65,50,40,40,65,310
811,thwackey,7,140,grass,,70,85,70,55,60,80,420
812,rillaboom,21,900,grass,,100,125,90,60,70,85,530
813,scorbunny,3,45,fire,,50,71,40,40,40,69,310
814,raboot,6,90,fire,,65,86,60,55,60,94,420
815,cinderace,14,330,fire,,80,116,75,65,75,119,530
816,sobble,3,40,water,,50,40,40,70,40,70,310
817,drizzile,7,115,water,,65,60,55,95,55,90,420
818,inteleon,19,452,water,,70,85,65,125,65,120,530
819,skwovet,3,25,normal,,70,55,55,35,35,25,275
820,greedent,6,60,normal,,120,95,95,55,75,20,460
821,rookidee,2,18,flying,,38,47,35,33,35,57,245
822,corvisquire,8,160,flying,,68,67,55,43,55,77,365
823,corviknight,22,750,flying,steel,98,87,105,53,85,67,495
824,blipbug,4,80,bug,,25,20,20,25,45,45,180
825,dottler,4,195,bug,psychic,50,35,80,50,90,30,335
826,orbeetle,4,408,bug,psychic,60,45,110,80,120,90,505
827,nickit,6,89,dark,,40,28,28,47,52,50,245
828,thievul,12,199,dark,,70,58,58,87,92,90,455
829,gossifleur,4,22,grass,,40,40,60,40,60,10,250
830,eldegoss,5,25,grass,,60,50,90,80,120,60,460
831,wooloo,6,60,normal,,42,40,55,40,45,48,270
832,dubwool,13,430,normal,,72,80,100,60,90,88,490
833,chewtle,3,85,water,,50,64,50,38,38,44,284
834,drednaw,10,1155,water,rock,90,115,90,48,68,74,485
835,yamper,3,135,electric,,59,45,50,40,50,26,270
836,boltund,10,340,electric,,69,90,60,90,60,121,490
837,rolycoly,3,120,rock,,30,40,50,40,50,30,240
838,carkol,11,780,rock,fire,80,60,90,60,70,50,410
839,coalossal,28,3105,rock,fire,110,80,120,80,90,30,510
840,applin,2,5,grass,dragon,40,40,80,40,40,20,260
841,flapple,3,10,grass,dragon,70,110,80,95,60,70,485
842,appletun,4,130,grass,dragon,110,85,80,100,80,30,485
843,silicobra,22,76,ground,,52,57,75,35,50,46,315
844,sandaconda,38,655,ground,,72,107,125,65,70,71,510
845,cramorant,8,180,flying,water,70,85,55,85,95,85,475
846,arrokuda,5,10,water,,41,63,40,40,30,66,280
847,barraskewda,13,300,water,,61,123,60,60,50,136,490
848,toxel,4,110,electric,poison,40,38,35,54,35,40,242
849,toxtricity-amped,16,400,electric,poison,75,98,70,114,70,75,502
850,sizzlipede,7,10,fire,bug,50,65,45,50,50,45,305
851,centiskorch,30,1200,fire,bug,100,115,65,90,90,65,525
852,clobbopus,6,40,fighting,,50,68,60,50,50,32,310
853,grapploct,16,390,fighting,,80,118,90,70,80,42,480
854,sinistea,1,2,ghost,,40,45,45,74,54,50,308
855,polteageist,2,4,ghost,,60,65,65,134,114,70,508
856,hatenna,4,34,psychic,,42,30,45,56,53,39,265
857,hattrem,6,48,psychic,,57,40,65,86,73,49,370
858,hatterene,21,51,psychic,fairy,57,90,95,136,103,29,510
859,impidimp,4,55,dark,fairy,45,45,30,55,40,50,265
860,morgrem,8,125,dark,fairy,65,60,45,75,55,70,370
861,grimmsnarl,15,610,dark,fairy,95,120,65,95,75,60,510
862,obstagoon,16,460,dark,normal,93,90,101,60,81,95,520
863,perrserker,8,280,steel,,70,110,100,50,60,50,440
864,cursola,10,4,ghost,,60,95,50,145,130,30,510
865,sirfetchd,8,1170,fighting,,62,135,95,68,82,65,507
866,mr-rime,15,582,ice,psychic,80,85,75,110,100,70,520
867,runerigus,16,666,ground,ghost,58,95,145,50,105,30,483
868,milcery,2,3,fairy,,45,40,40,50,61,34,270
869,alcremie,3,5,fairy,,65,60,75,110,121,64,495
870,falinks,30,620,fighting,,65,100,100,70,60,75,470
871,pincurchin,3,10,electric,,48,101,95,91,85,15,435
872,snom,3,38,ice,bug,30,25,35,45,30,20,185
873,frosmoth,13,420,ice,bug,70,65,60,125,90,65,475
874,stonjourner,25,5200,rock,,100,125,135,20,20,70,470
875,eiscue-ice,14,890,ice,,75,80,110,65,90,50,470
876,indeedee-male,9,280,psychic,normal,60,65,55,105,95,95,475
877,morpeko-full-belly,3,30,electric,dark,58,95,58,70,58,97,436
878,cufant,12,1000,steel,,72,80,49,40,49,40,330
879,copperajah,30,6500,steel,,122,130,69,80,69,30,500
880,dracozolt,18,1900,electric,dragon,90,100,90,80,70,75,505
881,arctozolt,23,1500,electric,ice,90,100,90,90,80,55,505
882,dracovish,23,2150,water,dragon,90,90,100,70,80,75,505
883,arctovish,20,1750,water,ice,90,90,100,80,90,55,505
884,duraludon,18,400,steel,dragon,70,95,115,120,50,85,535
885,dreepy,5,20,dragon,ghost,28,60,30,40,30,82,270
886,drakloak,14,110,dragon,ghost,68,80,50,60,50,102,410
887,dragapult,30,500,dragon,ghost,88,120,75,100,75,142,600
888,zacian,28,1100,fairy,,92,120,115,80,115,138,660
889,zamazenta,29,2100,fighting,,92,120,115,80,115,138,660
890,eternatus,200,9500,poison,dragon,140,85,95,145,95,130,690
891,kubfu,6,120,fighting,,60,90,60,53,50,72,385
892,urshifu-single-strike,19,1050,fighting,dark,100,130,100,63,60,97,550
893,zarude,18,700,dark,grass,105,120,105,70,95,105,600
894,regieleki,12,1450,electric,,80,100,50,100,50,200,580
895,regidrago,21,2000,dragon,,200,100,50,100,50,80,580
896,glastrier,22,8000,ice,,100,145,130,65,110,30,580
897,spectrier,20,445,ghost,,100,65,60,145,80,130,580
898,calyrex,11,77,psychic,grass,100,80,80,80,80,80,500
899,wyrdeer,18,951,normal,psychic,103,105,72,105,75,65,525
900,kleavor,18,890,bug,rock,70,135,95,45,70,85,500
901,ursaluna,24,2900,ground,normal,130,140,105,45,80,50,550
902,basculegion-male,30,1100,water,ghost,120,112,65,80,75,78,530
903,sneasler,13,430,fighting,poison,80,130,60,40,80,120,510
904,overqwil,25,605,dark,poison,85,115,95,65,65,85,510
905,enamorus-incarnate,16,480,fairy,flying,74,115,70,135,80,106,580
906,sprigatito,4,41,grass,,40,61,54,45,45,65,310
907,floragato,9,122,grass,,61,80,63,60,63,83,410
908,meowscarada,15,312,grass,dark,76,110,70,81,70,123,530
909,fuecoco,4,98,fire,,67,45,59,63,40,36,310
910,crocalor,10,307,fire,,81,55,78,90,58,49,411
911,skeledirge,16,3265,fire,ghost,104,75,100,110,75,66,530
912,quaxly,5,61,water,,55,65,45,50,45,50,310
913,quaxwell,12,215,water,,70,85,65,65,60,65,410
914,quaquaval,18,619,water,fighting,85,120,80,85,75,85,530
915,lechonk,5,102,normal,,54,45,40,35,45,35,254
916,oinkologne-male,10,1200,normal,,110,100,75,59,80,65,489
917,tarountula,3,40,bug,,35,41,45,29,40,20,210
918,spidops,10,165,bug,,60,79,92,52,86,35,404
919,nymble,2,10,bug,,33,46,40,21,25,45,210
920,lokix,10,175,bug,dark,71,102,78,52,55,92,450
921,pawmi,3,25,electric,,45,50,20,40,25,60,240
